pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=70%,kvB<=2k,kp<=512,0.0245,1
16,n<=32,sr<=70%,kvB<=2k,kp=0,0.0166,1
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.6852,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.112,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.8747,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.8796,4
16,n<=32,sr>70%,kvB<=2k,kp<=1k,0.9385,2
16,n<=32,sr>70%,kvB<=2k,kp<=2k,0.8682,2
16,n<=32,sr>70%,kvB<=2k,kp<=512,0.9408,2
16,n<=32,sr>70%,kvB<=2k,kp=0,0.9015,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,-0.0908,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.1263,1
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.9817,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.9871,5
16,n<=4,sr<=40%,kvB<=2k,kp<=1k,0.9954,1
16,n<=4,sr<=40%,kvB<=2k,kp<=2k,0.5809,1
16,n<=4,sr<=40%,kvB<=2k,kp<=512,0.9927,1
16,n<=4,sr<=40%,kvB<=2k,kp=0,0.9949,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.6581,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.2113,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.9863,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.9844,4
16,n<=4,sr<=70%,kvB<=2k,kp<=1k,0.9982,1
16,n<=4,sr<=70%,kvB<=2k,kp<=512,0.9961,1
16,n<=4,sr<=70%,kvB<=2k,kp=0,0.997,1
16,n<=4,sr>70%,kvB<=1k,kp<=1k,0.5849,1
16,n<=4,sr>70%,kvB<=1k,kp<=2k,1.1742,1
16,n<=4,sr>70%,kvB<=1k,kp<=512,0.9834,2
16,n<=4,sr>70%,kvB<=1k,kp=0,0.9921,2
16,n<=4,sr>70%,kvB<=2k,kp<=1k,1.0101,1
16,n<=4,sr>70%,kvB<=2k,kp<=2k,0.3101,1
16,n<=4,sr>70%,kvB<=2k,kp<=512,1.0059,1
16,n<=4,sr>70%,kvB<=2k,kp=0,0.9989,1
16,n<=512,sr<=15%,kvB<=1k,kp<=2k,-0.3387,2
16,n<=512,sr<=15%,kvB<=1k,kp<=512,-0.3358,2
16,n<=512,sr<=15%,kvB<=1k,kp=0,0.0586,2
16,n<=512,sr<=15%,kvB<=2k,kp<=2k,0.1035,2
16,n<=512,sr<=15%,kvB<=2k,kp<=512,0.2511,2
16,n<=512,sr<=15%,kvB<=2k,kp=0,0.0554,2
16,n<=512,sr<=40%,kvB<=1k,kp<=2k,0.2065,1
16,n<=512,sr<=40%,kvB<=1k,kp<=512,2.2993,1
16,n<=512,sr<=40%,kvB<=1k,kp=0,-4.1568,1
16,n<=512,sr<=40%,kvB<=2k,kp<=2k,-0.0132,1
16,n<=512,sr<=40%,kvB<=2k,kp=0,-0.0082,1
16,n<=512,sr<=5%,kvB<=1k,kp<=2k,-0.0697,4
16,n<=512,sr<=5%,kvB<=1k,kp<=512,0.0,4
16,n<=512,sr<=5%,kvB<=1k,kp=0,0.0614,4
16,n<=512,sr<=5%,kvB<=2k,kp<=2k,-0.0019,4
16,n<=512,sr<=5%,kvB<=2k,kp<=512,0.0554,4
16,n<=512,sr<=5%,kvB<=2k,kp=0,-0.0425,4
16,n<=512,sr<=70%,kvB<=1k,kp<=2k,0.1876,1
16,n<=512,sr<=70%,kvB<=1k,kp<=512,-12.3331,1
16,n<=512,sr<=70%,kvB<=1k,kp=0,4.173,1
16,n<=512,sr<=70%,kvB<=2k,kp<=2k,1.8108,1
16,n<=512,sr<=70%,kvB<=2k,kp=0,-0.0151,1
16,n<=512,sr>70%,kvB<=1k,kp<=2k,0.0443,2
16,n<=512,sr>70%,kvB<=1k,kp<=512,0.3103,2
16,n<=512,sr>70%,kvB<=1k,kp=0,0.0189,2
16,n<=512,sr>70%,kvB<=2k,kp<=2k,3.3129,2
16,n<=512,sr>70%,kvB<=2k,kp<=512,6.7161,2
16,n<=512,sr>70%,kvB<=2k,kp=0,-0.0518,1
16,n<=64,sr<=15%,kvB<=1k,kp<=1k,0.0406,4
16,n<=64,sr<=15%,kvB<=1k,kp<=2k,-0.0146,4
